Accession2,gene,totalCount,CountX,CountY,meanX,meanY,type,comparison,log10X,log10Y
MMAR_4056,mce3F_1,12,6,6,905.603518333333,478.009133333333,Cell Associated,∆eccCb1,2.95693810111207,2.67943619476771
MMAR_4057,MMAR_4057,15,9,6,1891.53417222222,742.256238333333,Cell Associated,∆eccCb1,3.27681419160999,2.87055385633525
MMAR_4058,murI,15,9,6,2671.54717777778,1920.235075,Cell Associated,∆eccCb1,3.42676284794346,3.28335439824837
MMAR_4061,MMAR_4061,6,3,3,340.75113,298.887206666667,Cell Associated,∆eccCb1,2.53243730471787,2.47550732623708
MMAR_4063,cfp10A,15,9,6,680.382694444444,913.925516666667,Cell Associated,∆eccCb1,2.832753258787,2.96091080293431
MMAR_4065,dmpA,15,9,6,1816.21618222222,1650.121245,Cell Associated,∆eccCb1,3.25916754085817,3.21751585578962
MMAR_4066,MMAR_4066,15,9,6,1271.57585,632.234368333333,Cell Associated,∆eccCb1,3.10434227112121,2.80087810044349
MMAR_4068,pncB,15,9,6,6896.94421111111,5575.48101666667,Cell Associated,∆eccCb1,3.83865671302612,3.74628234147309
MMAR_4069,dinG,12,9,3,2253.1636,2873.4287,Cell Associated,∆eccCb1,3.35279272656525,3.45840042521054
MMAR_4070,glgP,15,9,6,50311.5428888889,37032.3975,Cell Associated,∆eccCb1,4.70166763590766,4.56858182944925
MMAR_4071,MMAR_4071,15,9,6,16647.3859777778,15624.5075,Cell Associated,∆eccCb1,4.22134604898032,4.1938063368383
MMAR_4072,glgB,15,9,6,14056.9659111111,13465.0092666667,Cell Associated,∆eccCb1,4.14789159164694,4.12920665663062
MMAR_4073,MMAR_4073,6,3,3,393.981526666667,398.88496,Cell Associated,∆eccCb1,2.59547585874228,2.60084766149874
MMAR_4074,MMAR_4074,15,9,6,59387.2761111111,33626.3393333333,Cell Associated,∆eccCb1,4.7736934061485,4.52667959125558
MMAR_4075,fadA4,15,9,6,73726.2214444444,59264.4708333333,Cell Associated,∆eccCb1,4.8676219763705,4.77279441098147
MMAR_4076,gloA_1,15,9,6,467.657714444444,381.083058333333,Cell Associated,∆eccCb1,2.66992810282775,2.58101964193435
MMAR_4077,MMAR_4077,15,9,6,4906.68405555556,5309.93971,Cell Associated,∆eccCb1,3.69078809438884,3.72508959005266
MMAR_4080,MMAR_4080,15,9,6,199.54146,311.857331666667,Cell Associated,∆eccCb1,2.30003314552901,2.49395595863229
MMAR_4081,alkA,15,9,6,341.23515,283.363931666667,Cell Associated,∆eccCb1,2.53305376066893,2.45234456971166
MMAR_4082,ogt,15,9,6,1994.79865111111,1020.30232166667,Cell Associated,∆eccCb1,3.29989906587518,3.00872887487729
MMAR_4083,murA,15,9,6,11233.6446666667,7180.03531666667,Cell Associated,∆eccCb1,4.05052068251444,3.85612658042555
MMAR_4084,MMAR_4084,15,9,6,6396.6858,2939.73203333333,Cell Associated,∆eccCb1,3.80595501904999,3.46830774478339
MMAR_4085,MMAR_4085,15,9,6,1163.11433,431.02148,Cell Associated,∆eccCb1,3.06562240642895,2.63449891381043
MMAR_4086,atpC,15,9,6,10483.4515333333,9236.03071666667,Cell Associated,∆eccCb1,4.02050429172156,3.96548536859948
MMAR_4087,atpD,15,9,6,388521.478888889,387232.741666667,Cell Associated,∆eccCb1,5.58941503318859,5.58797207106402
MMAR_4088,atpG,15,9,6,95464.0715555556,70724.1886666667,Cell Associated,∆eccCb1,4.97983995314359,4.84956797402071
MMAR_4089,atpA,15,9,6,407382.863333333,341701.266666667,Cell Associated,∆eccCb1,5.61000275633744,5.53364658870606
MMAR_4090,atpH,15,9,6,49753.6704444444,33292.8356666667,Cell Associated,∆eccCb1,4.69682512518161,4.52235078710434
MMAR_4091,atpF,15,9,6,12673.5194111111,4859.89378333333,Cell Associated,∆eccCb1,4.10289723434518,3.68662677753054
MMAR_4093,atpB,15,9,6,8721.30262222222,6435.16363333333,Cell Associated,∆eccCb1,3.94058135642255,3.80855959462039
MMAR_4094,MMAR_4094,15,9,6,1841.52120888889,897.63302,Cell Associated,∆eccCb1,3.2651767250103,2.95309882000392
MMAR_4096,MMAR_4096,15,9,6,1939.14114444444,2629.79028333333,Cell Associated,∆eccCb1,3.28760942126151,3.41992111638991
MMAR_4098,prfA,15,9,6,18638.5784444444,13105.3306666667,Cell Associated,∆eccCb1,4.27041278584649,4.11744798330604
MMAR_4099,rpmE,15,9,6,81420.0051111111,62518.3108333333,Cell Associated,∆eccCb1,4.91073112530606,4.79600723541125
MMAR_4100,rho,15,9,6,107849.167222222,80306.24,Cell Associated,∆eccCb1,5.03281679596439,4.90474929238052
MMAR_4101,thrB,15,9,6,5694.34918888889,4006.77748333333,Cell Associated,∆eccCb1,3.75544409543435,3.60279522452808
MMAR_4102,thrC,15,9,6,87485.4493333333,80247.751,Cell Associated,∆eccCb1,4.94193582673973,4.90443286983733
MMAR_4103,thrA,15,9,6,76881.9452222222,61159.4976666667,Cell Associated,∆eccCb1,4.88582436306566,4.78646390967863
MMAR_4104,lysA,15,9,6,30491.6136666667,26081.9075,Cell Associated,∆eccCb1,4.48418040855642,4.41633935034326
MMAR_4105,argS,15,9,6,49505.7818888889,38773.5736666667,Cell Associated,∆eccCb1,4.69465592410122,4.58853583072576
MMAR_4106,MMAR_4106,6,3,3,138.299006666667,117.553906666667,Cell Associated,∆eccCb1,2.14081906079814,2.07023706660076
MMAR_4110,MMAR_4110,15,9,6,3670.13753333333,4806.39393333333,Cell Associated,∆eccCb1,3.56468233914271,3.68181936281863
MMAR_4111,MMAR_4111,15,9,6,2806.99423333333,2276.35121333333,Cell Associated,∆eccCb1,3.44824152042422,3.35723926925435
MMAR_4113,dhaA,13,9,4,260.577589333333,571.821595,Cell Associated,∆eccCb1,2.41593706200056,2.75726055258238
MMAR_4115,MMAR_4115,9,6,3,220.030154166667,225.567156666667,Cell Associated,∆eccCb1,2.34248220305306,2.35327586518363
MMAR_4120,MMAR_4120,12,6,6,322.49117,240.022285,Cell Associated,∆eccCb1,2.50851782789292,2.38025156589171
MMAR_4122,MMAR_4122,12,6,6,6047.78721666667,7522.177,Cell Associated,∆eccCb1,3.78159650268939,3.87634354833909
MMAR_4123,MMAR_4123,15,9,6,12473.7686666667,9229.8993,Cell Associated,∆eccCb1,4.0959976855447,3.96519696281433
MMAR_4124,MMAR_4124,6,3,3,747.425176666667,860.165275,Cell Associated,∆eccCb1,2.87356772276603,2.93458190603917
MMAR_4125,MMAR_4125,15,9,6,2036.38697777778,1434.94303333333,Cell Associated,∆eccCb1,3.30886031116174,3.15683466009435
MMAR_4126,MMAR_4126,12,6,6,502.80381,266.871101666667,Cell Associated,∆eccCb1,2.70139855989639,2.42630154843647
MMAR_4128,MMAR_4128,15,9,6,9560.68466666667,8910.9553,Cell Associated,∆eccCb1,3.98048899440038,3.94992426512319
MMAR_4129,gloA_2,15,9,6,3085.30474777778,1883.63720166667,Cell Associated,∆eccCb1,3.48929806747515,3.27499725913265
MMAR_4131,MMAR_4131,15,9,6,3298.82565555556,2882.15977333333,Cell Associated,∆eccCb1,3.51835936348988,3.4597180523814
MMAR_4132,cysN,15,9,6,11648.7081222222,7843.03884333333,Cell Associated,∆eccCb1,4.06627776343067,3.89448436589668
MMAR_4133,cysD,15,9,6,20703.0145555556,17761.1364833333,Cell Associated,∆eccCb1,4.31603358746282,4.24947075156922
MMAR_4134,MMAR_4134,15,9,6,1341.85708555556,844.102646666667,Cell Associated,∆eccCb1,3.12770626377656,2.92639526199332
MMAR_4135,MMAR_4135,15,9,6,432955.525555556,338751.81,Cell Associated,∆eccCb1,5.63644328665863,5.529881624387
MMAR_4136,oppB,6,3,3,798.709196666667,1680.0595,Cell Associated,∆eccCb1,2.90238868510681,3.22532466271639
MMAR_4138,oppD,15,9,6,3674.63561111111,3318.16675,Cell Associated,∆eccCb1,3.56521427949372,3.52089820712088
MMAR_4139,oppA,15,9,6,5854.94022222222,1470.34483333333,Cell Associated,∆eccCb1,3.76752246537054,3.16741919981708
MMAR_4140,MMAR_4140,3,3,0,121.75596,NA,Cell Associated,∆eccCb1,2.08549022928511,0
MMAR_4141,MMAR_4141,15,9,6,1941.79284444444,1415.16535,Cell Associated,∆eccCb1,3.28820289636836,3.15080718643076
MMAR_4142,MMAR_4142,15,9,6,1301.78543666667,738.150271666667,Cell Associated,∆eccCb1,3.11453940869405,2.86814478392626
MMAR_4143,sbcD,13,9,4,523.607642777778,1072.09298,Cell Associated,∆eccCb1,2.71900597705364,3.03023245228755
MMAR_4144,sixA,15,9,6,5074.77298888889,3991.85199166667,Cell Associated,∆eccCb1,3.70541661961422,3.60117443031221
MMAR_4145,lprC,15,9,6,6884.25413333333,4641.43893333333,Cell Associated,∆eccCb1,3.83785689400113,3.66665264088417
MMAR_4146,lprB,15,9,6,343.093832777778,335.492621,Cell Associated,∆eccCb1,2.53541291154305,2.5256829725103
MMAR_4147,MMAR_4147,4,3,1,228.673366666667,85.53245,Cell Associated,∆eccCb1,2.35921558575561,1.9321309121816
